method,query_id,query,reference_id,n_gt,active_ctx,negative_weight,image_alpha,adapter_dim,lora_rank,reference_module,text_module,fused_module,Recall@1,Precision@1,Recall@5,Precision@5,Recall@10,Precision@10
full_best_prompt_slerp_search,0,+Smiling,112,10,2,0.8,0.5,64,4,adapter,both,both,1,1.0,1,0.4,1,0.2
full_best_prompt_slerp_search,0,+Smiling,114,8,2,0.8,0.5,64,4,adapter,both,both,0,0.0,1,0.2,1,0.1
full_best_prompt_slerp_search,0,+Smiling,120,21,2,0.8,0.5,64,4,adapter,both,both,1,1.0,1,0.2,1,0.1
full_best_prompt_slerp_search,0,+Smiling,122,21,2,0.8,0.5,64,4,adapter,both,both,0,0.0,1,0.2,1,0.1
full_best_prompt_slerp_search,0,+Smiling,129,30,2,0.8,0.5,64,4,adapter,both,both,0,0.0,0,0.0,0,0.0
full_best_prompt_slerp_search,0,+Smiling,132,16,2,0.8,0.5,64,4,adapter,both,both,1,1.0,1,0.2,1,0.2
full_best_prompt_slerp_search,0,+Smiling,135,10,2,0.8,0.5,64,4,adapter,both,both,0,0.0,1,0.2,1,0.1
full_best_prompt_slerp_search,0,+Smiling,136,57,2,0.8,0.5,64,4,adapter,both,both,1,1.0,1,0.4,1,0.2
full_best_prompt_slerp_search,0,+Smiling,137,67,2,0.8,0.5,64,4,adapter,both,both,0,0.0,1,0.2,1,0.1
full_best_prompt_slerp_search,0,+Smiling,138,8,2,0.8,0.5,64,4,adapter,both,both,0,0.0,0,0.0,0,0.0
full_best_prompt_slerp_search,0,+Smiling,144,8,2,0.8,0.5,64,4,adapter,both,both,0,0.0,0,0.0,0,0.0
full_best_prompt_slerp_search,0,+Smiling,148,56,2,0.8,0.5,64,4,adapter,both,both,0,0.0,1,0.2,1,0.2
full_best_prompt_slerp_search,0,+Smiling,150,17,2,0.8,0.5,64,4,adapter,both,both,0,0.0,0,0.0,0,0.0
full_best_prompt_slerp_search,0,+Smiling,156,74,2,0.8,0.5,64,4,adapter,both,both,0,0.0,0,0.0,1,0.1
full_best_prompt_slerp_search,0,+Smiling,160,43,2,0.8,0.5,64,4,adapter,both,both,0,0.0,0,0.0,0,0.0
full_best_prompt_slerp_search,0,+Smiling,161,26,2,0.8,0.5,64,4,adapter,both,both,0,0.0,0,0.0,0,0.0
full_best_prompt_slerp_search,0,+Smiling,162,6,2,0.8,0.5,64,4,adapter,both,both,0,0.0,0,0.0,0,0.0
full_best_prompt_slerp_search,0,+Smiling,169,9,2,0.8,0.5,64,4,adapter,both,both,0,0.0,1,0.2,1,0.1
full_best_prompt_slerp_search,0,+Smiling,171,13,2,0.8,0.5,64,4,adapter,both,both,0,0.0,0,0.0,0,0.0
full_best_prompt_slerp_search,0,+Smiling,172,10,2,0.8,0.5,64,4,adapter,both,both,0,0.0,0,0.0,0,0.0
full_best_prompt_slerp_search,0,+Smiling,178,9,2,0.8,0.5,64,4,adapter,both,both,1,1.0,1,0.4,1,0.2
full_best_prompt_slerp_search,0,+Smiling,183,13,2,0.8,0.5,64,4,adapter,both,both,0,0.0,0,0.0,0,0.0
full_best_prompt_slerp_search,0,+Smiling,191,8,2,0.8,0.5,64,4,adapter,both,both,1,1.0,1,0.2,1,0.1
full_best_prompt_slerp_search,0,+Smiling,198,15,2,0.8,0.5,64,4,adapter,both,both,0,0.0,0,0.0,0,0.0
full_best_prompt_slerp_search,0,+Smiling,199,43,2,0.8,0.5,64,4,adapter,both,both,0,0.0,1,0.2,1,0.1
full_best_prompt_slerp_search,0,+Smiling,202,5,2,0.8,0.5,64,4,adapter,both,both,0,0.0,0,0.0,0,0.0
full_best_prompt_slerp_search,0,+Smiling,211,5,2,0.8,0.5,64,4,adapter,both,both,0,0.0,0,0.0,0,0.0
full_best_prompt_slerp_search,0,+Smiling,220,16,2,0.8,0.5,64,4,adapter,both,both,0,0.0,1,0.2,1,0.2
full_best_prompt_slerp_search,0,+Smiling,228,32,2,0.8,0.5,64,4,adapter,both,both,0,0.0,0,0.0,0,0.0
full_best_prompt_slerp_search,0,+Smiling,233,14,2,0.8,0.5,64,4,adapter,both,both,0,0.0,0,0.0,0,0.0
full_best_prompt_slerp_search,0,+Smiling,234,9,2,0.8,0.5,64,4,adapter,both,both,0,0.0,0,0.0,0,0.0
full_best_prompt_slerp_search,0,+Smiling,237,8,2,0.8,0.5,64,4,adapter,both,both,0,0.0,0,0.0,0,0.0
full_best_prompt_slerp_search,0,+Smiling,238,15,2,0.8,0.5,64,4,adapter,both,both,1,1.0,1,0.2,1,0.3
full_best_prompt_slerp_search,0,+Smiling,240,18,2,0.8,0.5,64,4,adapter,both,both,0,0.0,1,0.2,1,0.1
full_best_prompt_slerp_search,0,+Smiling,249,48,2,0.8,0.5,64,4,adapter,both,both,0,0.0,1,0.2,1,0.1
full_best_prompt_slerp_search,0,+Smiling,250,57,2,0.8,0.5,64,4,adapter,both,both,0,0.0,0,0.0,0,0.0
full_best_prompt_slerp_search,0,+Smiling,252,7,2,0.8,0.5,64,4,adapter,both,both,0,0.0,0,0.0,0,0.0
full_best_prompt_slerp_search,0,+Smiling,253,16,2,0.8,0.5,64,4,adapter,both,both,1,1.0,1,0.4,1,0.2
full_best_prompt_slerp_search,0,+Smiling,256,6,2,0.8,0.5,64,4,adapter,both,both,0,0.0,0,0.0,0,0.0
full_best_prompt_slerp_search,0,+Smiling,261,6,2,0.8,0.5,64,4,adapter,both,both,0,0.0,0,0.0,0,0.0
full_best_prompt_slerp_search,0,+Smiling,267,19,2,0.8,0.5,64,4,adapter,both,both,0,0.0,0,0.0,0,0.0
full_best_prompt_slerp_search,0,+Smiling,270,5,2,0.8,0.5,64,4,adapter,both,both,0,0.0,0,0.0,0,0.0
full_best_prompt_slerp_search,0,+Smiling,272,6,2,0.8,0.5,64,4,adapter,both,both,0,0.0,0,0.0,0,0.0
full_best_prompt_slerp_search,0,+Smiling,274,70,2,0.8,0.5,64,4,adapter,both,both,0,0.0,0,0.0,0,0.0
full_best_prompt_slerp_search,0,+Smiling,277,12,2,0.8,0.5,64,4,adapter,both,both,0,0.0,0,0.0,1,0.1
full_best_prompt_slerp_search,0,+Smiling,282,5,2,0.8,0.5,64,4,adapter,both,both,0,0.0,0,0.0,0,0.0
full_best_prompt_slerp_search,0,+Smiling,285,8,2,0.8,0.5,64,4,adapter,both,both,1,1.0,1,0.2,1,0.1
full_best_prompt_slerp_search,0,+Smiling,286,6,2,0.8,0.5,64,4,adapter,both,both,0,0.0,1,0.2,1,0.1
full_best_prompt_slerp_search,0,+Smiling,287,14,2,0.8,0.5,64,4,adapter,both,both,0,0.0,1,0.2,1,0.1
full_best_prompt_slerp_search,0,+Smiling,290,54,2,0.8,0.5,64,4,adapter,both,both,1,1.0,1,0.6,1,0.4
full_best_prompt_slerp_search,0,+Smiling,293,14,2,0.8,0.5,64,4,adapter,both,both,0,0.0,0,0.0,0,0.0
full_best_prompt_slerp_search,0,+Smiling,296,24,2,0.8,0.5,64,4,adapter,both,both,0,0.0,0,0.0,0,0.0
full_best_prompt_slerp_search,0,+Smiling,297,7,2,0.8,0.5,64,4,adapter,both,both,0,0.0,0,0.0,0,0.0
full_best_prompt_slerp_search,0,+Smiling,298,32,2,0.8,0.5,64,4,adapter,both,both,0,0.0,0,0.0,0,0.0
full_best_prompt_slerp_search,0,+Smiling,299,52,2,0.8,0.5,64,4,adapter,both,both,0,0.0,1,0.2,1,0.1
full_best_prompt_slerp_search,0,+Smiling,309,36,2,0.8,0.5,64,4,adapter,both,both,0,0.0,1,0.2,1,0.1
full_best_prompt_slerp_search,0,+Smiling,310,47,2,0.8,0.5,64,4,adapter,both,both,0,0.0,0,0.0,0,0.0
full_best_prompt_slerp_search,0,+Smiling,319,12,2,0.8,0.5,64,4,adapter,both,both,1,1.0,1,0.2,1,0.1
full_best_prompt_slerp_search,0,+Smiling,322,71,2,0.8,0.5,64,4,adapter,both,both,0,0.0,1,0.4,1,0.2
full_best_prompt_slerp_search,0,+Smiling,324,69,2,0.8,0.5,64,4,adapter,both,both,0,0.0,1,0.2,1,0.2
full_best_prompt_slerp_search,0,+Smiling,326,10,2,0.8,0.5,64,4,adapter,both,both,1,1.0,1,0.4,1,0.2
full_best_prompt_slerp_search,0,+Smiling,327,6,2,0.8,0.5,64,4,adapter,both,both,0,0.0,0,0.0,0,0.0
full_best_prompt_slerp_search,0,+Smiling,335,5,2,0.8,0.5,64,4,adapter,both,both,0,0.0,1,0.2,1,0.1
full_best_prompt_slerp_search,0,+Smiling,338,12,2,0.8,0.5,64,4,adapter,both,both,0,0.0,1,0.2,1,0.1
full_best_prompt_slerp_search,0,+Smiling,347,45,2,0.8,0.5,64,4,adapter,both,both,0,0.0,0,0.0,0,0.0
full_best_prompt_slerp_search,0,+Smiling,350,14,2,0.8,0.5,64,4,adapter,both,both,0,0.0,0,0.0,0,0.0
full_best_prompt_slerp_search,0,+Smiling,353,11,2,0.8,0.5,64,4,adapter,both,both,0,0.0,1,0.2,1,0.2
full_best_prompt_slerp_search,0,+Smiling,356,13,2,0.8,0.5,64,4,adapter,both,both,0,0.0,1,0.2,1,0.2
full_best_prompt_slerp_search,0,+Smiling,359,38,2,0.8,0.5,64,4,adapter,both,both,0,0.0,1,0.2,1,0.1
full_best_prompt_slerp_search,0,+Smiling,363,37,2,0.8,0.5,64,4,adapter,both,both,0,0.0,0,0.0,0,0.0
full_best_prompt_slerp_search,0,+Smiling,371,38,2,0.8,0.5,64,4,adapter,both,both,0,0.0,1,0.2,1,0.1
full_best_prompt_slerp_search,0,+Smiling,373,72,2,0.8,0.5,64,4,adapter,both,both,0,0.0,0,0.0,0,0.0
full_best_prompt_slerp_search,0,+Smiling,374,16,2,0.8,0.5,64,4,adapter,both,both,0,0.0,0,0.0,0,0.0
full_best_prompt_slerp_search,0,+Smiling,375,5,2,0.8,0.5,64,4,adapter,both,both,0,0.0,0,0.0,0,0.0
full_best_prompt_slerp_search,0,+Smiling,378,5,2,0.8,0.5,64,4,adapter,both,both,0,0.0,0,0.0,0,0.0
full_best_prompt_slerp_search,0,+Smiling,386,64,2,0.8,0.5,64,4,adapter,both,both,0,0.0,1,0.2,1,0.1
full_best_prompt_slerp_search,0,+Smiling,388,7,2,0.8,0.5,64,4,adapter,both,both,0,0.0,0,0.0,0,0.0
full_best_prompt_slerp_search,0,+Smiling,393,7,2,0.8,0.5,64,4,adapter,both,both,0,0.0,0,0.0,0,0.0
full_best_prompt_slerp_search,0,+Smiling,394,15,2,0.8,0.5,64,4,adapter,both,both,0,0.0,0,0.0,0,0.0
full_best_prompt_slerp_search,0,+Smiling,400,5,2,0.8,0.5,64,4,adapter,both,both,0,0.0,0,0.0,0,0.0
full_best_prompt_slerp_search,0,+Smiling,409,7,2,0.8,0.5,64,4,adapter,both,both,0,0.0,1,0.2,1,0.1
full_best_prompt_slerp_search,0,+Smiling,412,15,2,0.8,0.5,64,4,adapter,both,both,0,0.0,0,0.0,0,0.0
full_best_prompt_slerp_search,0,+Smiling,413,11,2,0.8,0.5,64,4,adapter,both,both,0,0.0,0,0.0,0,0.0
full_best_prompt_slerp_search,0,+Smiling,414,6,2,0.8,0.5,64,4,adapter,both,both,0,0.0,1,0.2,1,0.1
full_best_prompt_slerp_search,0,+Smiling,428,5,2,0.8,0.5,64,4,adapter,both,both,0,0.0,0,0.0,0,0.0
full_best_prompt_slerp_search,0,+Smiling,433,10,2,0.8,0.5,64,4,adapter,both,both,0,0.0,1,0.2,1,0.1
full_best_prompt_slerp_search,0,+Smiling,437,21,2,0.8,0.5,64,4,adapter,both,both,0,0.0,1,0.4,1,0.2
full_best_prompt_slerp_search,0,+Smiling,438,26,2,0.8,0.5,64,4,adapter,both,both,1,1.0,1,0.2,1,0.2
full_best_prompt_slerp_search,0,+Smiling,441,12,2,0.8,0.5,64,4,adapter,both,both,0,0.0,0,0.0,0,0.0
full_best_prompt_slerp_search,0,+Smiling,442,65,2,0.8,0.5,64,4,adapter,both,both,0,0.0,1,0.2,1,0.1
full_best_prompt_slerp_search,0,+Smiling,444,76,2,0.8,0.5,64,4,adapter,both,both,0,0.0,0,0.0,0,0.0
full_best_prompt_slerp_search,0,+Smiling,451,13,2,0.8,0.5,64,4,adapter,both,both,0,0.0,1,0.2,1,0.1
full_best_prompt_slerp_search,0,+Smiling,462,9,2,0.8,0.5,64,4,adapter,both,both,0,0.0,0,0.0,0,0.0
full_best_prompt_slerp_search,0,+Smiling,470,24,2,0.8,0.5,64,4,adapter,both,both,0,0.0,0,0.0,0,0.0
full_best_prompt_slerp_search,0,+Smiling,474,8,2,0.8,0.5,64,4,adapter,both,both,0,0.0,1,0.2,1,0.1
full_best_prompt_slerp_search,0,+Smiling,483,119,2,0.8,0.5,64,4,adapter,both,both,1,1.0,1,0.2,1,0.2
full_best_prompt_slerp_search,0,+Smiling,491,29,2,0.8,0.5,64,4,adapter,both,both,0,0.0,0,0.0,1,0.1
full_best_prompt_slerp_search,0,+Smiling,493,16,2,0.8,0.5,64,4,adapter,both,both,0,0.0,0,0.0,0,0.0
full_best_prompt_slerp_search,0,+Smiling,494,15,2,0.8,0.5,64,4,adapter,both,both,0,0.0,0,0.0,0,0.0
full_best_prompt_slerp_search,0,+Smiling,496,9,2,0.8,0.5,64,4,adapter,both,both,0,0.0,0,0.0,0,0.0
full_best_prompt_slerp_search,0,+Smiling,499,7,2,0.8,0.5,64,4,adapter,both,both,0,0.0,0,0.0,0,0.0
full_best_prompt_slerp_search,0,+Smiling,500,8,2,0.8,0.5,64,4,adapter,both,both,0,0.0,0,0.0,0,0.0
full_best_prompt_slerp_search,0,+Smiling,512,27,2,0.8,0.5,64,4,adapter,both,both,0,0.0,1,0.2,1,0.2
full_best_prompt_slerp_search,0,+Smiling,514,9,2,0.8,0.5,64,4,adapter,both,both,0,0.0,1,0.2,1,0.1
full_best_prompt_slerp_search,0,+Smiling,519,60,2,0.8,0.5,64,4,adapter,both,both,0,0.0,1,0.2,1,0.1
full_best_prompt_slerp_search,0,+Smiling,525,38,2,0.8,0.5,64,4,adapter,both,both,1,1.0,1,0.4,1,0.2
full_best_prompt_slerp_search,0,+Smiling,534,9,2,0.8,0.5,64,4,adapter,both,both,0,0.0,0,0.0,1,0.1
full_best_prompt_slerp_search,0,+Smiling,536,23,2,0.8,0.5,64,4,adapter,both,both,0,0.0,1,0.2,1,0.1
full_best_prompt_slerp_search,0,+Smiling,540,20,2,0.8,0.5,64,4,adapter,both,both,0,0.0,0,0.0,0,0.0
full_best_prompt_slerp_search,0,+Smiling,551,40,2,0.8,0.5,64,4,adapter,both,both,0,0.0,1,0.2,1,0.1
full_best_prompt_slerp_search,0,+Smiling,554,17,2,0.8,0.5,64,4,adapter,both,both,0,0.0,0,0.0,0,0.0
full_best_prompt_slerp_search,0,+Smiling,556,13,2,0.8,0.5,64,4,adapter,both,both,0,0.0,0,0.0,0,0.0
full_best_prompt_slerp_search,0,+Smiling,574,6,2,0.8,0.5,64,4,adapter,both,both,0,0.0,0,0.0,0,0.0
full_best_prompt_slerp_search,0,+Smiling,576,9,2,0.8,0.5,64,4,adapter,both,both,0,0.0,0,0.0,0,0.0
full_best_prompt_slerp_search,0,+Smiling,582,38,2,0.8,0.5,64,4,adapter,both,both,0,0.0,0,0.0,0,0.0
full_best_prompt_slerp_search,0,+Smiling,584,49,2,0.8,0.5,64,4,adapter,both,both,1,1.0,1,0.2,1,0.1
full_best_prompt_slerp_search,0,+Smiling,591,30,2,0.8,0.5,64,4,adapter,both,both,0,0.0,0,0.0,0,0.0
full_best_prompt_slerp_search,0,+Smiling,596,16,2,0.8,0.5,64,4,adapter,both,both,1,1.0,1,0.4,1,0.2
full_best_prompt_slerp_search,0,+Smiling,599,10,2,0.8,0.5,64,4,adapter,both,both,0,0.0,1,0.2,1,0.1
full_best_prompt_slerp_search,0,+Smiling,606,10,2,0.8,0.5,64,4,adapter,both,both,1,1.0,1,0.2,1,0.1
full_best_prompt_slerp_search,0,+Smiling,607,63,2,0.8,0.5,64,4,adapter,both,both,1,1.0,1,0.4,1,0.2
full_best_prompt_slerp_search,0,+Smiling,610,40,2,0.8,0.5,64,4,adapter,both,both,0,0.0,1,0.2,1,0.1
full_best_prompt_slerp_search,0,+Smiling,620,15,2,0.8,0.5,64,4,adapter,both,both,0,0.0,0,0.0,0,0.0
full_best_prompt_slerp_search,0,+Smiling,624,7,2,0.8,0.5,64,4,adapter,both,both,0,0.0,0,0.0,0,0.0
full_best_prompt_slerp_search,0,+Smiling,625,5,2,0.8,0.5,64,4,adapter,both,both,0,0.0,0,0.0,0,0.0
full_best_prompt_slerp_search,0,+Smiling,630,16,2,0.8,0.5,64,4,adapter,both,both,0,0.0,0,0.0,0,0.0
full_best_prompt_slerp_search,0,+Smiling,631,21,2,0.8,0.5,64,4,adapter,both,both,0,0.0,1,0.2,1,0.1
full_best_prompt_slerp_search,0,+Smiling,634,41,2,0.8,0.5,64,4,adapter,both,both,0,0.0,0,0.0,0,0.0
full_best_prompt_slerp_search,0,+Smiling,645,7,2,0.8,0.5,64,4,adapter,both,both,0,0.0,0,0.0,0,0.0
full_best_prompt_slerp_search,0,+Smiling,659,12,2,0.8,0.5,64,4,adapter,both,both,1,1.0,1,0.2,1,0.1
full_best_prompt_slerp_search,0,+Smiling,661,46,2,0.8,0.5,64,4,adapter,both,both,1,1.0,1,0.6,1,0.4
full_best_prompt_slerp_search,0,+Smiling,664,24,2,0.8,0.5,64,4,adapter,both,both,0,0.0,1,0.2,1,0.1
full_best_prompt_slerp_search,0,+Smiling,676,42,2,0.8,0.5,64,4,adapter,both,both,0,0.0,0,0.0,0,0.0
full_best_prompt_slerp_search,0,+Smiling,678,13,2,0.8,0.5,64,4,adapter,both,both,0,0.0,0,0.0,0,0.0
full_best_prompt_slerp_search,0,+Smiling,679,113,2,0.8,0.5,64,4,adapter,both,both,1,1.0,1,0.4,1,0.3
full_best_prompt_slerp_search,0,+Smiling,686,6,2,0.8,0.5,64,4,adapter,both,both,0,0.0,0,0.0,0,0.0
full_best_prompt_slerp_search,0,+Smiling,691,8,2,0.8,0.5,64,4,adapter,both,both,1,1.0,1,0.2,1,0.1
full_best_prompt_slerp_search,0,+Smiling,700,19,2,0.8,0.5,64,4,adapter,both,both,1,1.0,1,0.4,1,0.3
full_best_prompt_slerp_search,0,+Smiling,703,49,2,0.8,0.5,64,4,adapter,both,both,0,0.0,1,0.4,1,0.2
full_best_prompt_slerp_search,0,+Smiling,704,16,2,0.8,0.5,64,4,adapter,both,both,0,0.0,0,0.0,0,0.0
full_best_prompt_slerp_search,0,+Smiling,707,18,2,0.8,0.5,64,4,adapter,both,both,0,0.0,1,0.4,1,0.3
full_best_prompt_slerp_search,0,+Smiling,719,8,2,0.8,0.5,64,4,adapter,both,both,0,0.0,0,0.0,0,0.0
full_best_prompt_slerp_search,0,+Smiling,721,53,2,0.8,0.5,64,4,adapter,both,both,0,0.0,0,0.0,1,0.1
full_best_prompt_slerp_search,0,+Smiling,725,36,2,0.8,0.5,64,4,adapter,both,both,0,0.0,1,0.4,1,0.3
full_best_prompt_slerp_search,0,+Smiling,727,14,2,0.8,0.5,64,4,adapter,both,both,0,0.0,0,0.0,0,0.0
full_best_prompt_slerp_search,0,+Smiling,737,14,2,0.8,0.5,64,4,adapter,both,both,0,0.0,0,0.0,0,0.0
full_best_prompt_slerp_search,0,+Smiling,739,15,2,0.8,0.5,64,4,adapter,both,both,1,1.0,1,0.2,1,0.1
full_best_prompt_slerp_search,0,+Smiling,740,7,2,0.8,0.5,64,4,adapter,both,both,0,0.0,0,0.0,0,0.0
full_best_prompt_slerp_search,0,+Smiling,742,7,2,0.8,0.5,64,4,adapter,both,both,0,0.0,1,0.2,1,0.2
full_best_prompt_slerp_search,0,+Smiling,751,36,2,0.8,0.5,64,4,adapter,both,both,0,0.0,0,0.0,0,0.0
full_best_prompt_slerp_search,0,+Smiling,759,8,2,0.8,0.5,64,4,adapter,both,both,0,0.0,0,0.0,0,0.0
full_best_prompt_slerp_search,0,+Smiling,762,29,2,0.8,0.5,64,4,adapter,both,both,1,1.0,1,0.6,1,0.3
full_best_prompt_slerp_search,0,+Smiling,769,9,2,0.8,0.5,64,4,adapter,both,both,0,0.0,0,0.0,0,0.0
full_best_prompt_slerp_search,0,+Smiling,771,29,2,0.8,0.5,64,4,adapter,both,both,0,0.0,0,0.0,1,0.1
full_best_prompt_slerp_search,0,+Smiling,772,5,2,0.8,0.5,64,4,adapter,both,both,0,0.0,0,0.0,0,0.0
full_best_prompt_slerp_search,0,+Smiling,773,12,2,0.8,0.5,64,4,adapter,both,both,0,0.0,1,0.2,1,0.1
full_best_prompt_slerp_search,0,+Smiling,774,118,2,0.8,0.5,64,4,adapter,both,both,1,1.0,1,0.2,1,0.1
full_best_prompt_slerp_search,0,+Smiling,779,20,2,0.8,0.5,64,4,adapter,both,both,0,0.0,1,0.2,1,0.1
full_best_prompt_slerp_search,0,+Smiling,788,7,2,0.8,0.5,64,4,adapter,both,both,0,0.0,0,0.0,0,0.0
full_best_prompt_slerp_search,0,+Smiling,794,112,2,0.8,0.5,64,4,adapter,both,both,1,1.0,1,0.4,1,0.5
full_best_prompt_slerp_search,0,+Smiling,796,34,2,0.8,0.5,64,4,adapter,both,both,0,0.0,1,0.2,1,0.3
full_best_prompt_slerp_search,0,+Smiling,800,35,2,0.8,0.5,64,4,adapter,both,both,0,0.0,0,0.0,0,0.0
full_best_prompt_slerp_search,0,+Smiling,802,31,2,0.8,0.5,64,4,adapter,both,both,0,0.0,1,0.2,1,0.3
full_best_prompt_slerp_search,0,+Smiling,803,6,2,0.8,0.5,64,4,adapter,both,both,0,0.0,0,0.0,0,0.0
full_best_prompt_slerp_search,0,+Smiling,807,7,2,0.8,0.5,64,4,adapter,both,both,0,0.0,0,0.0,0,0.0
full_best_prompt_slerp_search,0,+Smiling,814,27,2,0.8,0.5,64,4,adapter,both,both,0,0.0,1,0.2,1,0.1
full_best_prompt_slerp_search,0,+Smiling,815,40,2,0.8,0.5,64,4,adapter,both,both,0,0.0,1,0.6,1,0.3
full_best_prompt_slerp_search,0,+Smiling,829,9,2,0.8,0.5,64,4,adapter,both,both,0,0.0,0,0.0,0,0.0
full_best_prompt_slerp_search,0,+Smiling,831,6,2,0.8,0.5,64,4,adapter,both,both,0,0.0,0,0.0,0,0.0
full_best_prompt_slerp_search,0,+Smiling,833,14,2,0.8,0.5,64,4,adapter,both,both,1,1.0,1,0.2,1,0.2
full_best_prompt_slerp_search,0,+Smiling,840,67,2,0.8,0.5,64,4,adapter,both,both,0,0.0,0,0.0,0,0.0
full_best_prompt_slerp_search,0,+Smiling,841,33,2,0.8,0.5,64,4,adapter,both,both,0,0.0,0,0.0,0,0.0
full_best_prompt_slerp_search,0,+Smiling,844,78,2,0.8,0.5,64,4,adapter,both,both,0,0.0,0,0.0,0,0.0
full_best_prompt_slerp_search,0,+Smiling,847,14,2,0.8,0.5,64,4,adapter,both,both,0,0.0,1,0.2,1,0.1
full_best_prompt_slerp_search,0,+Smiling,850,18,2,0.8,0.5,64,4,adapter,both,both,0,0.0,0,0.0,1,0.1
full_best_prompt_slerp_search,0,+Smiling,860,32,2,0.8,0.5,64,4,adapter,both,both,0,0.0,0,0.0,1,0.1
full_best_prompt_slerp_search,0,+Smiling,866,13,2,0.8,0.5,64,4,adapter,both,both,0,0.0,0,0.0,0,0.0
full_best_prompt_slerp_search,0,+Smiling,869,47,2,0.8,0.5,64,4,adapter,both,both,0,0.0,0,0.0,0,0.0
full_best_prompt_slerp_search,0,+Smiling,871,9,2,0.8,0.5,64,4,adapter,both,both,1,1.0,1,0.2,1,0.1
full_best_prompt_slerp_search,0,+Smiling,873,30,2,0.8,0.5,64,4,adapter,both,both,0,0.0,0,0.0,1,0.1
full_best_prompt_slerp_search,0,+Smiling,876,7,2,0.8,0.5,64,4,adapter,both,both,0,0.0,0,0.0,0,0.0
full_best_prompt_slerp_search,0,+Smiling,880,9,2,0.8,0.5,64,4,adapter,both,both,0,0.0,0,0.0,0,0.0
full_best_prompt_slerp_search,0,+Smiling,883,12,2,0.8,0.5,64,4,adapter,both,both,0,0.0,1,0.2,1,0.1
full_best_prompt_slerp_search,0,+Smiling,885,10,2,0.8,0.5,64,4,adapter,both,both,0,0.0,1,0.2,1,0.1
